,guess,score
317,Fulgorlr,6455821.0
318,Fulgorln,6455821.0
319,Fulgorlm,6455821.0
320,Fulgucd,6480310.0
321,Fulgurjz,6493637.0
322,Fulgork,6494085.0
323,Fulgorly,6496186.0
324,Fulgurju,6523230.0
325,Fulgarlx,6544672.0
326,Fulguco,6566481.0
327,Fulgorlv,6576846.0
328,Fuigorjz,6643671.0
329,Fulgurlx,6650539.0
330,Fuigorju,6673264.0
331,Fulgarle,6770844.0
332,Fulgoctl,6775735.0
333,Fulgocti,6775735.0
334,Fulgoct,6775735.0
335,Fulgoctj,6775735.0
336,Fuigorlx,6800573.0
337,Fulgarls,6852509.0
338,Fulgurle,6876711.0
339,Fulgarjt,6915161.0
340,Fulgarlo,6925600.0
341,Fulgiziix,6936956.0
342,Fulgorh,6945082.0
343,Fulgurls,6958376.0
344,Fulgarld,6964129.0
345,Fulgarlq,6966973.0
346,Fulgarlc,7002753.0
347,Fulgurjt,7021028.0
348,Fuigorle,7026745.0
349,Fulgurlo,7031467.0
350,Fulgorjf,7048598.0
351,Fulgarjr,7055321.0
352,Fulgarjm,7055321.0
353,Fulgarjn,7055321.0
354,Fulgurld,7069996.0
355,Fulgurlq,7072840.0
356,Fulgarja,7076606.0
357,Fulgarb,7093184.0
358,Fulgucz,7093840.0
359,Fuigorls,7108410.0
360,Fulgurlc,7108620.0
361,Fulgoiie,7132407.0
362,Fulgurjm,7161188.0
363,Fulgurjn,7161188.0
364,Fulgurjr,7161188.0
365,Fulgiziie,7163128.0
366,Fuigorjt,7171062.0
367,Fuigorlo,7181501.0
368,Fulgurja,7182473.0
369,Fulgari,7184689.0
370,Fulgurb,7199051.0
371,Fulgaiw,7208890.0
372,Fulgorlg,7214198.0
373,Fuigorld,7220030.0
374,Fuigorlq,7222874.0
375,Fulguca,7228284.0
376,Fulgiziis,7244793.0
377,Fulgorjg,7256123.0
378,Fuigorlc,7258654.0
379,Fulgocw,7259239.0
380,Fulguri,7290556.0
381,Fuigorjm,7311222.0
382,Fuigorjr,7311222.0
383,Fuigorjn,7311222.0
384,Fulguiw,7314757.0
385,Fulgiziio,7317884.0
386,Fulgucrj,7318279.0
387,Fulgucrl,7318279.0
388,Fulgucri,7318279.0
389,Fulgucr,7318279.0
390,Fulgonf,7323856.0
391,Fuigorja,7332507.0
392,Fuigorb,7349085.0
393,Fulgarlz,7354249.0
394,Fulgarip,7355594.0
395,Fulgiziid,7356413.0
396,Fulgucs,7357915.0
397,Fulgiziiq,7359257.0
398,Fulgiziic,7395037.0
399,Fulgocp,7399811.0
400,Fulgocv,7408984.0
401,Fulgonp,7421748.0
402,Fuigori,7440590.0
403,Fulgarlw,7444441.0
404,Fulgurlz,7460116.0
405,Fulgixiix,7460759.0
406,Fulgurip,7461461.0
407,Fuigoiw,7464791.0
408,Fulgucn,7496692.0
409,Fulgucm,7506556.0
410,Fulgoiai,7521332.0
411,Fulgoia,7521332.0
412,Fulgoial,7521332.0
413,Fulgurlw,7550308.0
414,Fulgarla,7565821.0
415,Fulgocu,7575408.0
416,Fulgarlu,7593786.0
417,Fulgarj,7595938.0
418,Fuigorlz,7610150.0
419,Fuigorip,7611495.0
420,Fulgizim,7618006.0
421,Fulgizin,7619269.0
422,Fulgizirl,7620766.0
423,Fulgizir,7620766.0
424,Fulgiziri,7620766.0
425,Fulgoiaj,7636932.0
426,Fulgorjii,7669862.0
427,Fulgorjil,7669862.0
428,Fulgorjij,7669862.0
429,Fulgorji,7669862.0
